rank,station,value
等级1,桂林西,2841.740911962103
等级1,三门峡南,2841.2526303827917
等级1,酒泉,2831.549095419137
等级1,兴安北,2829.2689595611128
等级1,藤县,2824.5321985678247
等级1,十堰,2819.149737713351
等级1,涪陵北,2810.036088205008
等级1,温州,2802.4172537498616
等级1,遂宁,2799.5163386580207
等级1,汕尾,2771.818889807545
等级1,先锋,2771.6184022696
等级1,孝感北,2765.1957275885643
等级1,武义,2763.324476701281
等级1,共青城,2761.4366406537474
等级1,绥德,2756.2353308406205
等级1,鹤壁,2755.105880573311
等级1,泰宁,2751.113513366445
等级1,尤溪,2745.5537172112327
等级1,进贤南,2745.006154577776
等级1,淮南南,2734.1880202759085
等级1,平果,2729.6508997307697
等级1,平南南,2723.199498057878
等级1,白城,2718.29553381424
等级1,威海,2715.9028350838958
等级1,吐鲁番,2710.8018924069447
等级1,安达,2708.470612297569
等级1,滕州东,2707.2894327339554
等级1,全椒,2697.877855954403
等级1,千岛湖,2692.918681618682
等级1,邹城,2676.066390472729
等级1,陇南,2615.895185192439
等级1,砀山,2614.4941571056647
等级1,桂林,2612.586603956366
等级1,永康,2607.8602112661847
等级1,北海,2603.108136372052
等级1,南通,2598.65197626231
等级1,福鼎,2559.6040358508844
等级1,淮南,2551.3140034149565
等级1,板塘,2548.859461352793
等级1,德清,2545.7162389122777
等级1,宝丰,2541.9680077178423
等级1,高安,2526.3068886503024
等级1,建宁县北,2508.0529826023853
等级1,盘州,2502.9287705089832
等级1,霞浦,2500.899379738792
等级1,巢湖,2500.7001182546646
等级1,樟树,2500.3500937503245
等级1,金山北,2490.3021536534006
等级1,丰城,2479.034841366073
等级1,余杭,2478.414488728393
等级1,松江南,2478.159741646188
等级1,邵阳北,2473.0896413192577
等级1,淮北,2471.7612088039914
等级1,武夷山北,2464.980857540504
等级1,唐山北,2457.391347546907
等级1,高密,2446.059941449496
等级1,蓝村,2439.918122369331
等级1,晏城,2439.71461228414
等级1,石柱县,2438.646502432366
等级1,巩义,2424.233394225992
等级1,古田北,2418.196937275809
等级1,观沙岭,2411.4893016352794
等级1,大冶北,2398.517297561445
等级1,新化南,2395.827261604483
等级1,静海,2392.626573988552
等级1,都匀东,2385.6495645938403
等级1,建始,2376.1301494330937
等级1,香樟路,2375.8748424654164
等级1,南充北,2358.2443717972947
等级1,将乐,2352.174216132149
等级1,安庆,2351.22224385684
等级1,马鞍山东,2349.258746772363
等级1,松江,2342.0742199215083
等级1,光山,2338.3486169600887
等级1,烟台南,2337.9204475554307
等级1,弋阳,2336.031346274497
等级1,定西北,2335.777262172334
等级1,胶州,2330.34681667972
等级1,合川,2327.189170313476
等级1,青州市北,2325.4424365433683
等级1,仙桃西,2323.054693780811
等级1,抚州东,2316.537372163872
等级1,广水,2313.5015528886624
等级1,牙克石,2309.314858490108
等级1,永城北,2303.671469112076
等级1,昌黎,2295.1150252653547
等级1,天门南,2293.0500096882315
等级1,长兴南,2290.1931558811457
等级1,平原,2285.2184342171936
等级1,丹东,2278.005783871288
等级1,巴东,2270.160262042805
等级1,泊头,2267.5403189715767
等级1,田阳,2229.003869451671
等级1,临汾西,2215.209647997618
等级1,谷山,2206.882370910921
等级1,醴陵,2200.989298745168
等级1,景德镇北,2196.4405807409817
等级1,铜陵,2182.9025184956704
等级1,普者黑,2179.5149232116773
等级1,张家口,2178.462007845216
等级1,汝州,2171.9188943145264
等级1,扬州,2170.1701737674266
等级1,琼海,2168.8354797548586
等级1,小榄,2164.382567240681
等级1,益阳,2163.8418245619578
等级1,新县,2158.38687936232
等级1,平原东,2157.604271356713
等级1,盐城,2155.266751520605
等级1,中山,2153.379390197485
等级1,荆门,2146.8404159015454
等级1,仙游,2142.279932195936
等级1,奉化,2140.7078013867776
等级1,塘沽,2138.175210728106
等级1,韶山南,2137.467770086363
等级1,缙云,2132.354016525823
等级1,枝江北,2124.747188243732
等级1,泰州,2124.0588972660507
等级1,德清西,2119.7792641354968
等级1,杨陵,2119.234844504772
等级1,连江,2114.41668082208
等级1,鲅鱼圈,2113.0317389402617
等级1,云浮东,2108.045235705256
等级1,永修,2096.129137745065
等级1,普兰店,2089.191440911561
等级1,无为,2083.5226290749647
等级2,溆浦南,2078.9892299269763
等级2,海拉尔,2065.395904827142
等级2,盖州,2059.350853194168
等级2,武穴,2056.9317168629104
等级2,磁窑,2050.4433754455554
等级2,高碑店,2049.0258591998154
等级2,内江北,2048.8499136890687
等级2,本溪,2045.1440872800813
等级2,兰考南,2045.1073490658396
等级2,长流,2044.527917268873
等级2,延安,2040.8929328051815
等级2,玉门,2027.309163004245
等级2,浠水,2026.230542791707
等级2,临河,2019.7360908556957
等级2,汕头,2018.993187463789
等级2,开封北,2018.7693601449848
等级2,陵水,2015.6115408054209
等级2,万宁,2011.3331254334355
等级2,宣威,2010.3765489574228
等级2,常德,2006.4763972315184
等级2,尖山,1994.885762795304
等级2,咸宁,1992.0827872196191
等级2,罗源,1988.3276987791892
等级2,海安,1984.6818353420304
等级2,南岔,1981.355204781524
等级2,黄石,1980.3206635703684
等级2,大理,1979.4845777582357
等级2,东方,1972.737298168934
等级2,霸州西,1969.17824747352
等级2,即墨北,1967.4077738633955
等级2,渑池南,1961.1680576460828
等级2,呼兰,1959.112159508134
等级2,桐庐,1949.548004094556
等级2,肃宁,1945.2564500378903
等级2,余姚,1931.372078459926
等级2,田东北,1927.723781907966
等级2,绍兴,1926.9963746400504
等级2,福安,1923.9236179580337
等级2,建瓯西,1923.18787908573
等级2,铁力,1920.4675895853964
等级2,广南县,1913.65569611283
等级2,萧县北,1913.2725771028731
等级2,徐水,1910.4307396342156
等级2,苏家屯,1901.4227117808528
等级2,香港西九龙,1897.68966377355
等级2,白沟,1891.4578183752024
等级2,吴桥,1889.1658794486736
等级2,福田,1886.4411786493888
等级2,灵宝西,1882.8295121893764
等级2,洞井,1881.82456396191
等级2,常平,1880.2996206719783
等级2,丰都,1878.7745546677893
等级2,石门县北,1877.878745349761
等级2,哈达铺,1871.1433905240456
等级2,营口东,1870.1496386556655
等级2,三水北,1867.661360281847
等级2,开福寺,1867.4043424906088
等级2,富宁,1865.8445388565583
等级2,万源,1865.0652109517537
等级2,雁荡山,1842.4954720413043
等级2,榆次,1836.8889476865684
等级2,赤壁北,1824.889104560601
等级2,新沂,1817.0681673899296
等级2,泰和,1813.4196194341591
等级2,弥勒,1810.264227593944
等级2,合浦,1794.6611192889882
等级2,荣成,1785.6871776760545
等级2,梅河口,1779.9540294313797
等级2,东乡,1774.560237014173
等级2,芦台,1773.4541247441434
等级2,三水南,1766.3218821110663
等级2,杜尔伯特,1761.9127174606233
等级2,禹城东,1760.973838988506
等级2,长汀南,1750.5009979587576
等级2,枣强,1746.6063260341534
等级2,乌海,1743.9712193216983
等级2,鄱阳,1732.0550569947088
等级2,涡阳,1731.491122594448
等级2,南充,1730.1500578216803
等级2,侯马西,1726.2052357272485
等级2,日照西,1719.4724548939048
等级2,永福南,1718.8866068338134
等级2,于都,1718.7387295891835
等级2,胜芳,1715.1802641207223
等级2,隆安东,1714.9910729117944
等级2,渭南西,1711.123439231665
等级2,庆安,1707.4058201894718
等级2,随州,1707.2143353801882
等级2,树木岭,1705.6790224544798
等级2,齐齐哈尔南,1701.1833035394586
等级2,深圳东,1697.9174415188006
等级2,赤壁,1696.5520030965083
等级2,玉山,1693.03484030001
等级2,扎兰屯,1688.0373206391114
等级2,永泰,1685.40399514272
等级2,文昌,1684.706847820666
等级2,德安,1675.9063764142195
等级2,永川东,1670.8233060230584
等级2,张家界,1666.6486541758263
等级2,芙蓉南,1662.7700414761316
等级2,楚雄,1661.4110868904284
等级2,漳平西,1659.0803915136291
等级2,鼎湖东,1657.6097053711846
等级2,恭城,1654.9872366287043
等级2,西湖东,1644.2306888156857
等级2,城固北,1642.91169707941
等级2,来宾,1640.4366370012615
等级2,旌德,1639.3549263666714
等级2,玉屏,1637.4585671132231
等级2,明珠,1627.404816543867
等级2,明光,1626.2469737689423
等级2,进贤,1623.953316176372
等级2,德惠西,1623.6778546588737
等级2,资阳北,1623.6508235501565
等级2,新化,1623.1226402914856
等级2,南丰,1618.5885084570843
等级2,蔡家坡,1617.8535721577612
等级2,芷江,1616.806482193041
等级2,鄯善,1608.403254938063
等级2,永安南,1606.8598422719951
等级2,辛集南,1606.578395333122
等级2,章丘北,1603.0598776004138
等级2,綦江东,1601.3876603528747
等级2,长寿北,1599.7624136808663
等级2,济宁,1597.2416729212036
等级2,广安,1597.190179395789
等级2,永嘉,1594.8761186467548
等级2,歙县北,1592.8448273605316
等级2,忻州,1587.4861818502588
等级2,兴隆镇,1585.6438901899835
等级2,瑞金,1585.575537010235
等级2,大庆,1578.4092550584785
等级2,安顺,1577.55242067261
等级2,兴国,1573.755625218604
等级2,秦安,1572.9724609851846
等级2,湘府路,1571.642790769817
等级2,汤原,1567.8430595484929
等级2,白马井,1566.5413096045013
等级2,富阳,1566.1824299158968
等级2,朗乡,1562.8546292100527
等级2,东光,1560.973094144451
等级2,渠县,1558.4081605215483
等级2,绅坊,1554.1824633024517
等级2,民权北,1554.0239762474475
等级2,黎塘,1548.902587178998
等级2,南城,1543.981612308789
等级2,曹县,1540.2651261137562
等级2,淮南东,1538.5721763144445
等级2,介休东,1537.4459511875832
等级2,邵阳,1537.234147464223
等级2,敦化,1535.9225191496705
等级2,邹平,1535.427008219079
等级2,湖口,1532.076643027978
等级2,潼南,1525.831559005683
等级2,黄流,1525.4621760166842
等级2,宁陵县,1520.7695248742348
等级2,海城西,1510.3623427742011
等级2,青县,1509.2007541039095
等级2,钦州东,1503.1874010572042
等级2,三江南,1500.1294855500798
等级2,闽清北,1496.023559176523
等级2,扶余北,1494.768630982659
等级2,邳州,1494.5926567239728
等级2,岷县,1492.5264137901268
等级2,贵定北,1491.0945958743737
等级2,太姥山,1489.7421902850049
等级2,哈尔滨北,1486.1844258985705
等级2,棋子湾,1485.491607125953
等级2,定州东,1477.5576321182994
等级2,原平,1474.223544840803
等级2,鹿寨北,1470.3230569781022
等级2,乐东,1468.8685087715712
等级2,榆林,1465.5257919219332
等级2,海林,1463.5376180674036
等级2,砀山南,1462.9269291712471
等级2,大旺,1460.9481771079218
等级2,井冈山,1456.3130955680883
等级2,黔江,1448.1766016507374
等级2,青岛西,1446.580622863085
等级2,邵东,1442.2393471658056
等级2,平顶山,1437.974230731048
等级2,郁南,1435.8400453185184
等级2,霍州东,1430.29568681703
等级2,瑞昌西,1428.427600482043
等级2,南陵,1425.8621251058914
等级2,临汾,1423.4794633411475
等级2,临淄北,1420.1332795413553
等级2,滦河,1419.2480269681942
等级2,咸阳秦都,1415.6399871388587
等级2,城西,1415.3076977937278
等级2,广州北,1411.392026359505
等级2,青铜峡,1407.7358933074124
等级2,大明湖,1407.7009999559043
等级2,阳西,1404.7432160423116
等级2,阳朔,1394.0131272884043
等级2,樟木头,1392.477218920891
等级2,介休,1391.886132853751
等级2,石林西,1377.0030473495287
等级2,罗山,1376.429304175982
等级2,景州,1376.4058482011726
等级2,安陆,1375.4002099063473
等级2,甘旗卡,1368.3179045039565
等级2,涪陵,1365.3129316313025
等级2,滨海西,1364.5032705064973
等级2,平遥,1363.374252355339
等级2,恩平,1363.1977098433358
等级2,三穗,1362.995247407892
等级2,南靖,1362.9050839979325
等级2,吕梁,1361.5116635401782
等级2,焦作,1361.0902373809206
等级2,大庆东,1360.7332278794368
等级2,高碑店东,1355.4479698711666
等级2,平遥古城,1353.4361987017448
等级2,涿州东,1350.0447783730338
等级2,三明,1349.3104855933516
等级2,新干,1346.0900012056247
等级2,无锡新区,1339.507701234966
等级2,淮滨,1338.499032816224
等级2,齐河,1338.2483101464654
等级2,台安,1333.603581459827
等级2,章丘,1331.0776193485665
等级2,临高南,1327.0351333047388
等级2,晋州,1324.7372047635647
等级2,钟山西,1324.5298376071291
等级2,定远,1324.0336279268586
等级2,胶州北,1323.475695274302
等级2,大荔,1322.4553398464384
等级2,吉首,1322.228094112677
等级2,冠豸山,1320.4883967154678
等级2,商洛,1319.9542286073604
等级2,凤城东,1315.4189756154483
等级2,化德,1312.7485088296366
等级2,桑根达来,1312.7485088296366
等级2,祥云,1308.5384006053996
等级2,汨罗东,1308.3962599141623
等级2,廊坊,1302.58630070249
等级2,郓城,1295.0814545475405
等级2,阿房宫,1294.7438360850274
等级2,新晃西,1291.9653149298824
等级2,山丹,1290.487900117295
等级2,泾县,1289.4661171641317
等级2,息县,1283.3628534053094
等级2,九台,1277.4794668299514
等级2,尚志,1276.9142943959532
等级2,武当山,1274.6835062837274
等级2,太谷西,1271.5181166298848
等级2,赣榆,1269.8675303351702
等级2,桃村,1265.423302000721
等级2,内乡,1261.060525053298
等级2,东胜西,1260.209389889867
等级2,深圳机场,1259.1362253853324
等级2,正镶白旗,1258.3072135171672
等级2,惠农,1257.6663372108198
等级2,宁强南,1252.678881121846
等级2,石嘴山,1250.0136150271146
等级2,洋县西,1249.0486080759767
等级2,灵宝,1247.10863611124
等级2,渭源,1246.9099599522358
等级2,慈利,1246.5677014850232
等级2,陆川,1245.6354829202764
等级2,莱西,1245.3785903592795
等级2,石河子,1241.0363489519818
等级2,永济北,1238.0609646772168
等级2,寿县,1236.0740033543752
等级2,耒阳西,1231.576663883392
等级2,西安南,1230.810955528927
等级2,商城,1229.1322848797304
等级2,桐梓东,1225.790224834736
等级2,湘乡,1223.1150936342926
等级2,闻喜西,1221.3981142350715
等级2,邓州,1220.6511302915676
等级2,奎屯,1219.5528525168356
等级2,巩义南,1219.05281581068
等级2,杨柳青,1218.9805964878285
等级2,佛山,1217.7903737366132
等级2,铜仁,1215.8442288354745
等级2,唐河,1215.263548178444
等级2,乌拉特前旗,1214.53485883337
等级2,剑门关,1211.6082451132038
等级2,开平南,1210.7092808489692
等级2,昌图西,1209.4778777333174
等级2,抚顺北,1208.934693610641
等级2,廊坊北,1206.423508856669
等级2,通化,1205.9829782329691
等级2,广德,1205.792844527936
等级2,郑州西,1205.1341502799655
等级2,南部,1201.0018793642782
等级2,平湖,1200.6343188412363
等级2,吴川,1193.8039698552852
等级2,镇远,1187.7907283458164
等级2,开原西,1186.563254488925
等级2,龙江,1185.0965591826534
等级2,深圳西,1183.6963519964115
等级2,衡山西,1181.2671316517926
等级2,海石湾,1180.8820614883691
等级2,镇平,1175.2747105440712
等级2,宜宾西,1173.4994942925478
等级2,亳州南,1171.327339355679
等级2,枣阳,1170.0503873420184
等级2,宣汉,1167.5734893031467
等级2,固始,1167.326576003553
等级2,六枝,1166.7056829416065
等级2,乐山,1163.9792518458855
等级2,泰来,1161.8705924730305
等级2,水家湖,1160.1859488376404
等级2,西峡,1159.3898754909208
等级2,珠琳,1157.6001810388057
