Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat
四家子,,True,False,False,False,False,124.227409,42.658352
劲松,,True,False,False,False,False,116.450668,39.882648
大兴机场,,True,False,False,False,False,116.420667,39.542956
南朗,NNQ,True,True,True,False,False,113.534233,22.489304
涉县,OEP,True,True,True,False,False,113.668528,36.577372
和硕,VUR,True,True,True,False,False,86.878562,42.303563
海龙,HIL,True,True,True,False,False,125.835823,42.64941
璧山,FZW,True,True,True,False,False,106.224451,29.504082
红寺堡,HSJ,True,True,True,False,False,106.065496,37.448616
潘家店,PDP,True,True,True,False,False,117.823227,40.674736
黑台,HQB,True,True,True,False,False,131.623856,45.410336
渑池,MCF,True,True,True,False,False,111.785686,34.753137
万年,WWG,True,True,True,False,False,117.080591,28.685823
成都南,CNW,True,True,True,False,False,104.068544,30.605364
临汾,LFV,True,True,True,False,False,111.536808,36.087326
城西,,True,False,False,False,False,101.690265,36.65748
淮北北,PLH,True,True,True,True,True,116.852281,34.047272
芨岭,JLJ,True,True,True,False,False,101.788269,38.530952
汾河,FEV,True,True,True,False,False,112.541527,37.947807
永嘉,URH,True,True,True,False,False,120.695492,28.069487
城子坦,CWT,True,True,True,False,False,122.497498,39.509052
红峰,,True,False,False,False,False,102.621475,28.282686
敖汉,YED,True,True,True,False,False,120.153191,42.644505
营北,,True,False,False,False,False,119.020905,33.639278
宜春西,YCG,True,True,True,False,False,114.389058,27.785916
珠海北,ZIQ,True,True,True,False,False,113.551362,22.401288
涞源,LYP,True,True,True,False,False,114.711924,39.371935
大兴,DXX,True,True,True,False,False,116.341395,39.726929
木里图,MUD,True,True,True,False,False,101.28639697674048,27.934598559239884
蕉溪,,True,False,False,False,False,108.556061,27.075558
渭南北,WBY,True,True,True,True,True,109.480793,34.535661
迎春,YYB,True,True,True,False,False,132.952026,46.043297
高密,GMK,True,True,True,True,True,119.769415,36.393217
惠州南,KNQ,True,True,True,False,False,114.492152,22.784778
六个鸡,,True,False,False,False,False,107.788887,26.567461
南观村,NGP,True,True,True,False,False,115.996895,39.769257
佳木斯西,JUB,True,True,True,False,False,130.332901,46.811537
绥德,ODY,True,True,True,True,True,110.261836,37.546395
高邑,GIP,True,True,True,False,False,114.597606,37.605093
祥云,XQM,True,True,True,False,False,100.544844,25.471774
包头北,,True,False,False,False,False,109.746952,40.661745
济南东,MDK,True,True,True,True,True,117.02651,36.681242
丹凤,DGY,True,True,True,False,False,110.354544,33.68048
中川机场,ZJJ,True,True,True,False,False,103.628708,36.492775
卫辉,WHF,True,True,True,False,False,114.062302,35.431914
临河,LHC,True,True,True,False,False,107.429928,40.743709
宣汉,XHY,True,True,True,True,True,107.658423,31.542388
元谋,YMM,True,True,True,False,False,101.842613,25.738694
崇信,,True,False,False,False,False,106.892265,35.311325
高头,,True,False,False,False,False,124.078743,47.420074
潮州,CKQ,True,True,True,False,False,116.58455,23.638509
酒泉南,JNJ,True,True,True,True,True,98.535421,39.70226
墨玉,MUR,True,True,True,False,False,79.732979,37.222649
白芨沟,BJJ,True,True,True,False,False,106.141205,39.119083
王岗,WGB,True,True,True,False,False,126.544632,45.671211
宜良北,YSM,True,True,True,False,False,103.190688,24.982835
柳毛沟,,True,False,False,False,False,132.184555,45.545834
大口钦,,True,False,False,False,False,126.587189,44.16964
饶平,RVQ,True,True,True,True,True,116.932977,23.711639
温春,WDB,True,True,True,False,False,129.501328,44.435417
周水子,ZIT,True,True,True,False,False,121.565765,38.955929
小月旧,XFM,True,True,True,False,False,101.834091,25.593309
临高南,KGQ,True,True,True,False,False,109.759467,19.867507
徐水,XSP,True,True,True,False,False,115.645185,39.033661
深圳,SZQ,True,True,True,True,True,114.117768,22.532835
同心,TXJ,True,True,True,True,True,105.926051,36.993887
北舍,,True,False,False,False,False,120.281036,32.536777
拉萨,LSO,True,True,True,True,True,91.069717,29.623144
康城,KCP,True,True,True,False,False,114.290749,36.656269
宿州东,SRH,True,True,True,True,True,117.251006,33.675734
酉阳,AFW,True,True,True,False,False,108.962049,28.808412
襄河,XXB,True,True,True,False,False,126.856689,48.800194
女儿河,,True,False,False,False,False,121.043861,41.067444
龙华,LHP,True,True,True,False,False,110.334252,20.032438
辉河,,True,False,False,False,False,119.267265,48.834457
对青山,DQB,True,True,True,False,False,114.39149265696672,30.64659307554314
定陶,DQK,True,True,True,False,False,115.595711,35.064637
二道沟门,RDP,True,True,True,False,False,125.7115863782879,43.863392425958814
峻德,JDB,True,True,True,False,False,130.291611,47.196819
闵集,MJN,True,True,True,False,False,114.133339,30.837881
南江,FIW,True,True,True,False,False,106.874103,32.429949
马鞍山东,OMH,True,True,True,True,True,118.540349,31.692536
平阳,,True,False,False,False,True,120.563443,27.605432
日照,RZK,True,True,True,False,False,119.531883,35.40339
夏官营,XGJ,True,True,True,False,False,104.179672,35.953014
凯北,,True,False,False,False,False,123.44998790262696,41.82008709824744
新固镇,,True,False,False,False,False,117.306688,33.316675
官高,GVP,True,True,True,False,False,116.314018,40.226044
西武匠,,True,False,False,False,False,112.876602,35.450085
三水北,ARQ,True,True,True,False,False,112.918511,23.184427
文地,WNZ,True,True,True,False,False,110.196991,21.951759
红寺堡北,,True,False,False,False,False,106.066577,37.42265
姜堰,UEH,True,True,True,True,True,120.154625,32.509512
昌乐,CLK,True,True,True,False,False,118.838835,36.710599
宁村,NCZ,True,True,True,False,False,108.337296,22.556269
柳沟,,True,False,False,False,False,96.43782,40.679028
瓦窑坝,,True,False,False,False,False,109.806091,40.739899
辛集,ENP,True,True,True,True,True,115.215361,37.904683
红兴隆,VHB,True,True,True,False,False,129.56447906703582,46.421213591869936
羊尾哨,YWM,True,True,True,False,False,104.237984,25.69212
太阳沟,,True,False,False,False,False,124.324554,51.326405
镇江南,ZEH,True,True,True,True,True,119.423587,32.152541
黄村,HCP,True,True,True,False,False,113.40892,23.130243
氡泉,,True,False,False,False,False,127.176018,42.128147
西六方,,True,False,False,False,False,122.088074,43.492371
青县,QXP,True,True,True,True,True,116.838464,38.577615
黄陵南,VLY,True,True,True,False,False,109.386777,35.583141
哈尔巴岭,,True,False,False,False,False,128.634659,43.267933
开鲁,KLC,True,True,True,False,False,121.284296,43.633224
影壁山,,True,False,False,False,False,127.627678,42.444752
玉溪,AXM,True,True,True,False,False,102.527034,24.352593
四平,SPT,True,True,True,False,False,124.373528,43.167715
德令哈,DHO,True,True,True,False,False,97.383666,37.315387
马皇,MHZ,True,True,True,False,False,108.651863,22.053818
亚龙湾,TWQ,True,True,True,False,False,119.81385883901436,31.36319909509001
威信,,True,False,False,False,False,105.058213,27.824927
张三营,,True,False,False,False,False,117.760124,41.586407
大陆号,DLC,True,True,True,False,False,113.284622,41.207642
徽县,HYY,True,True,True,False,False,106.20115,33.70068
景泰,JTJ,True,True,True,False,False,104.055941,37.194179
柳树屯,LSD,True,True,True,False,False,120.80069,40.764172
杏树屯,XDT,True,True,True,False,False,122.158211,39.267349
富海,FHX,True,True,True,False,False,124.864708,47.866817
齐齐哈尔南,QNB,True,True,True,False,False,123.96936,47.284829
靖宇,JYL,True,True,True,False,False,126.778305,42.396703
东莞西,,True,False,False,False,False,113.676994,22.906861
桃源,,True,False,False,False,False,111.480399,28.875581
合阳,HAY,True,True,True,False,False,110.091166,35.195135
应城,YHN,True,True,True,True,True,113.572805,30.922797
高楞,GLB,True,True,True,False,False,129.250351,46.005203
康庄,KZP,True,True,True,False,False,115.89827,40.379906
天岗,TGL,True,True,True,False,False,126.955376,43.904446
西昌南,ENW,True,True,True,False,False,102.214021,27.837686
千阳,QOY,True,True,True,False,False,107.115778,34.635194
南堡北,TLP,True,True,True,False,False,123.44998790262696,41.82008709824744
濮阳,PYF,True,True,True,False,False,115.024832,35.741448
南口前,NKT,True,True,True,False,False,124.613876,42.00053
端州,WZQ,True,True,True,False,False,112.513079,23.110718
常平东,FQQ,True,True,True,False,False,112.939995,35.240242
铜仁南,TNW,True,True,True,True,True,108.975559,27.279018
巢湖东,GUH,True,True,True,True,True,117.925139,31.61786
大荔北,,True,False,False,False,False,109.827656,34.897861
郭磊庄,GLP,True,True,True,False,False,114.551193,40.720623
道州,DFZ,True,True,True,True,True,111.569794,25.515585
老羊壕,,True,False,False,False,False,109.840973,41.394047
龙岩,LYS,True,True,True,True,True,117.0067,25.096577
东戴河,RDD,True,True,True,False,False,119.847496,40.041939
双峰北,NFQ,True,True,True,True,True,112.020772,27.540743
丹霞山,IRQ,True,True,True,True,True,113.4046231023802,22.52576526892189
沈阳北,SBT,True,True,True,True,True,123.435946,41.819382
赶水东,GDE,True,True,True,False,False,106.720978,28.739864
王场,,True,False,False,False,False,104.678368,29.068848
世博园,ZWT,True,True,True,False,False,123.640381,41.863346
龙嘉,UJL,True,True,True,False,False,125.700813,43.99279
明水河,MUT,True,True,True,False,False,125.92663918055668,47.19068733748584
分宜,FYG,True,True,True,True,True,114.663544,27.805934
洮南,TVT,True,True,True,False,False,122.80879,45.340298
眉山,MSW,True,True,True,False,False,103.812907,30.064492
商都,SXC,True,True,True,False,False,113.558016,41.580517
宜宾西,,True,False,False,False,True,104.643215,28.751768
永泰,YTS,True,True,True,False,False,118.933641,25.848179
五道河,WHP,True,True,True,False,False,117.065948,40.89418
葛根庙,GGT,True,True,True,False,False,122.285934,45.907917
天镇,TZV,True,True,True,False,False,114.066044,40.452209
东安东,DCZ,True,True,True,True,True,111.336744,26.377986
克东,KOB,True,True,True,False,False,126.255427,47.989465
古田北,GBS,True,True,True,True,True,118.665266,26.462131
麻尾,VAW,True,True,True,False,False,107.460129,25.319572
大盘石,RPP,True,True,True,False,False,115.09182,39.428032
临江,LQL,True,True,True,False,False,126.90305,41.80398
阿木尔,JTX,True,True,True,False,False,123.162636,52.86145
甲山,JOP,True,True,True,False,False,118.264915,40.788727
将乐,JLS,True,True,True,True,True,117.479571,26.695496
盖州,GXT,True,True,True,True,True,122.3337,40.419377
陵城,LGK,True,True,True,False,False,116.581839,37.293359
三江,,True,False,False,False,False,109.609799,25.77515
会昌北,XEG,True,True,True,False,False,115.785208,25.826862
平凉南,POJ,True,True,True,False,False,106.827116,35.483528
零陵,UWZ,True,True,True,True,True,111.582557,26.222871
滨海,YKP,True,True,True,False,False,119.831014,34.001745
楚山,CSB,True,True,True,False,False,130.028305,45.118153
丽江,LHM,True,True,True,False,False,100.252633,26.810657
甲猫,,True,False,False,False,False,106.700867,24.324007
盐城北,AEH,True,True,True,False,False,120.105745,33.44178
福鼎,FES,True,True,True,True,True,120.189238,27.282435
东明村,DMD,True,True,True,False,False,113.88107302606568,23.89877770818152
扶余,FYT,True,True,True,False,False,126.025149,44.987061
容桂,RUQ,True,True,True,False,False,113.309784,22.751858
古北口,,True,False,False,False,False,117.141953,40.69212
华蓥,HUW,True,True,True,False,False,106.781262,30.362909
松岭,,True,False,False,False,False,126.716225,41.895584
虎门,IUQ,True,True,True,True,True,113.673065,22.860954
八仙筒,VXD,True,True,True,False,False,121.063004,43.202175
汝州,ROF,True,True,True,True,True,112.827789,34.169433
新天,,True,False,False,False,False,124.214973,51.212009
九台,JTL,True,True,True,True,True,125.838699,44.149755
恩平,PXQ,True,True,True,False,False,112.305246,22.181383
章古台,ZGD,True,True,True,False,False,122.48719,42.70623
徘徊北,PHP,True,True,True,False,False,114.040939,36.618412
汾阳,FAV,True,True,True,True,True,111.91638,37.372738
长安西,,True,False,False,False,False,108.946657,34.156287
下花园,XYP,True,True,True,False,False,115.28015,40.486623
铁厂,TCL,True,True,True,False,False,126.19278,41.734058
五十家子,,True,False,False,False,False,118.165253,42.092163
郑州,ZZF,True,True,True,True,True,113.681688,34.836075
石林,SLM,True,True,True,False,False,103.328779,24.862667
昌图西,CPT,True,True,True,True,True,124.066546,42.777941
德昌,DVW,True,True,True,False,False,102.186766,27.39557
张家川,ZIJ,True,True,True,False,False,106.342823,34.96596
正定,ZDP,True,True,True,False,False,114.556741,38.162578
成吉思汗,CJX,True,True,True,False,False,122.839516,47.748703
原林,,True,False,False,False,False,121.39476,49.886646
沙湾县,SXR,True,True,True,False,False,85.608549,44.322035
涿州东,ZAP,True,True,True,False,False,116.052776,39.460163
宁波,NGH,True,True,True,True,True,121.536596,29.86268
小河沿,XYD,True,True,True,False,False,119.548576,42.398392
承德县北,IYP,True,True,True,False,False,118.173825,40.768238
准东,,True,False,False,False,False,125.36976711817532,43.89857327552188
汇流河,,True,False,False,False,False,120.830963,49.291607
镇赉,ZLT,True,True,True,False,False,123.19526,45.85818
七苏木,,True,False,False,False,False,113.191879,41.079269
玉舍,AUM,True,True,True,False,False,104.779327,26.485918
吉水西,,True,False,False,False,False,115.09723100474824,27.28451194170824
洛湾三江,KRW,True,True,True,False,False,109.609799,25.77515
咸宁南,UNN,True,True,True,False,False,114.305575,29.837213
襄汾,XFV,True,True,True,False,False,111.442349,35.880337
蒲城,PCY,True,True,True,False,False,109.559271,34.934879
公主岭,GLT,True,True,True,False,False,124.811239,43.509087
扎兰屯,ZTX,True,True,True,False,False,122.743959,48.017027
叶柏寿,YBD,True,True,True,False,False,119.643265,41.391907
铁岭西,PXT,True,True,True,True,True,123.672499,42.23287
安口窑,AYY,True,True,True,False,False,106.808846,35.234764
师庄,SNM,True,True,True,False,False,101.830742,26.11484
广州西,GXQ,True,True,True,False,False,113.244436,23.138154
张维屯,ZWB,True,True,True,False,False,127.005272,47.062843
新晃,XLQ,True,True,True,False,False,109.181018,27.347666
